"ID","プラグイン","重大度","確度","分類","不具合内容","ファイル","行","影響","詳細","推奨対応","ステータス","関連BUG.md","確認方法"
"PB-0001","appList","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/appList/appList/contents/js/config.js","475","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-026","kintone.api近傍catch確認"
"PB-0002","appList","Medium","Low","DOM","DOM取得失敗時のnull参照リスク","plugins/appList/appList/contents/js/config.js","901","対象DOMが存在しない画面でJavaScriptエラーになる可能性","let select = document.querySelector('[data-role=""app-name""]'); の取得結果を明示チェックせず利用している可能性がある。","対象画面で要素存在チェックまたは早期returnを確認する。","未対応（潜在）","BUG-026","DOM取得後の近傍参照確認"
"PB-0003","appList","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/appList/appList/contents/js/config.js","1086","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-026","kintone.api近傍catch確認"
"PB-0004","appList","Medium","Low","DOM","DOM取得失敗時のnull参照リスク","plugins/appList/appList/contents/js/desktop.js","252","対象DOMが存在しない画面でJavaScriptエラーになる可能性","const root = document.querySelector(':root') root.style.setProperty(""--color"", treeColor); の取得結果を明示チェックせず利用している可能性がある。","対象画面で要素存在チェックまたは早期returnを確認する。","未対応（潜在）","","DOM取得後の近傍参照確認"
"PB-0005","appList","Medium","Low","DOM","DOM取得失敗時のnull参照リスク","plugins/appList/appList/contents/js/mobile.js","243","対象DOMが存在しない画面でJavaScriptエラーになる可能性","const root = document.querySelector(':root') root.style.setProperty(""--color"", treeColor); の取得結果を明示チェックせず利用している可能性がある。","対象画面で要素存在チェックまたは早期returnを確認する。","未対応（潜在）","","DOM取得後の近傍参照確認"
"PB-0006","CharacterLimit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/CharacterLimit/CharacterLimit/contents/js/config.js","479","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0007","CharacterLimit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/CharacterLimit/CharacterLimit/contents/js/desktop.js","425","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0008","CharacterLimit","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/CharacterLimit/CharacterLimit/contents/js/mobile.js","425","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0009","ConditionalElapsedTimeAutomaticCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/ConditionalElapsedTimeAutomaticCalculation/ConditionalElapsedTimeAutomaticCalculation/contents/js/config.js","173","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0010","ConditionalElapsedTimeAutomaticCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/ConditionalElapsedTimeAutomaticCalculation/ConditionalElapsedTimeAutomaticCalculation/contents/js/desktop.js","204","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0011","ConditionalElapsedTimeAutomaticCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/ConditionalElapsedTimeAutomaticCalculation/ConditionalElapsedTimeAutomaticCalculation/contents/js/mobile.js","204","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0012","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/CrossAppRecordSync/CrossAppRecordSync/contents/js/config.js","509","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0013","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/CrossAppRecordSync/CrossAppRecordSync/contents/js/config.js","732","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0014","CrossAppRecordSync","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/CrossAppRecordSync/CrossAppRecordSync/contents/js/config.js","742","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0015","CrossAppRecordSync","Medium","Low","添付ファイル","添付ファイル存在確認漏れの可能性","plugins/CrossAppRecordSync/CrossAppRecordSync/contents/js/desktop.js","679","添付ファイルなしのレコードで例外になる可能性",".fileKey 近傍で添付ファイル配列の存在確認が確認できない。","添付ファイル配列のlength確認を行う。","未対応（潜在）","","添付ファイル関連語と配列参照確認"
