ID,プラグイン,プラグイン英名,重大度,確度,人間確認,分類,不具合内容,ファイル,行,影響,詳細,推奨対応,ステータス
BUG-003,フィールド重複チェックプラグイン,DoubleCheck,High,高確度,不要,保存処理不具合,モバイル編集保存時に自レコード除外判定が効かない,DoubleCheck/DoubleCheck/contents/js/mobile.js,81,モバイル編集時、自レコードが重複チェック対象から除外されず、既存値のまま保存しても重複エラーになる可能性がある。,mobile submitイベント内でdesktopイベント名 `app.record.edit.submit` を比較している。,`mobile.app.record.edit.submit` を判定する。,未対応（修正保留）
BUG-011,非表示プラグイン,FieldHidden,High,高確度,不要,DOM不具合,DOM取得失敗時にnullへhasAttributeを呼ぶ,FieldHidden/FieldHidden/contents/js/desktop.js,61,対象フィールドのDOMが存在しない、折りたたみ、削除、他プラグイン非表示などの条件で実行時エラーになる。,`document.querySelector` の結果がnullでも `hasAttribute` を呼ぶ。,`if (!fieldWrap2) return;` を追加し、関連属性の存在確認を行う。,未対応（修正保留）
BUG-012,非表示プラグイン,FieldHidden,High,高確度,不要,DOM不具合,関連属性の該当設定がない場合にfields参照で落ちる,FieldHidden/FieldHidden/contents/js/desktop.js,66,ドロップダウン/ラジオ連動属性の選択肢名が一致しない場合に画面表示処理が停止する。,`find()` の戻り値を確認せず `getAttributeTarget.fields` を参照している。,`getAttributeTarget` と `fields` の存在確認を追加する。,未対応（修正保留）
BUG-016,入力ヒント設定プラグイン,InputHintSetting,High,高確度,不要,サブテーブル不具合,空のサブテーブルで存在チェックがTypeErrorになる,InputHintSetting/InputHintSetting/contents/js/desktop.js,64,空のサブテーブルで入力ヒント設定処理が落ちる可能性がある。,サブテーブルの先頭行 `value[0]` が存在する前提で存在チェックしている。,空行時はDOM/フィールド定義ベースで判定する。mobile.jsも同様確認。,未対応（修正保留）
BUG-004,ルックアップ連動プラグイン,LookupLinkage,High,高確度,不要,モバイル不具合,mobile.jsでアプリID取得にdesktop APIを使用している,LookupLinkage/LookupLinkage/contents/js/mobile.js,92,モバイルでルックアップ設定確認処理が失敗し、以降の連動処理にも影響する可能性がある。,mobile.js内で `kintone.app.getId()` を使用している。,`kintone.mobile.app.getId()` に置換する。,未対応（修正保留）
BUG-005,ルックアップ連動プラグイン,LookupLinkage,High,高確度,不要,モバイル不具合,mobile.jsでdesktop用record.getを使用している,LookupLinkage/LookupLinkage/contents/js/mobile.js,107,モバイルのchangeイベントで実行時エラーになり、値連動が止まる可能性が高い。,mobile.js内で `kintone.app.record.get()` を使用している。,event.recordを使用するか、mobile用APIへ置換する。,未対応（修正保留）
BUG-014,退職者チェックプラグイン,RetirementConversion,High,高確度,不要,API処理不具合,ユーザー一覧100件超過時の再帰呼び出しが未定義関数になっている,RetirementConversion/RetirementConversion/contents/js/desktop.js,183,ユーザー数が100件を超える環境で退職者チェックが途中で失敗する。,メソッド内で `getAllUsers` を直接呼んでいるが、関数スコープに定義されていない。,"`return total.getAllUsers(offset + 100, users);` のようにメソッド経由で呼ぶ。mobile.jsも同様確認。",未対応（修正保留）
BUG-019,退職者チェックプラグイン,RetirementConversion,High,高確度,不要,サブテーブル不具合,空のサブテーブルで存在チェックがTypeErrorになる,RetirementConversion/RetirementConversion/contents/js/desktop.js,151,空のサブテーブルを含む一覧で退職者チェック処理が落ちる可能性がある。,サブテーブルの先頭行 `value[0]` が存在する前提でユーザー選択フィールドを確認している。,空行時の分岐を追加する。mobile.jsも同様確認。,未対応（修正保留）
BUG-008,サブテーブル自動ソートプラグイン,SubTableAutosorte,High,高確度,不要,モバイル不具合,mobile.jsの保存後ソート処理でdesktop APIのgetIdを使用している,SubTableAutosorte/SubTableAutosort/contents/js/mobile.js,184,モバイル保存後のサブテーブル自動ソートが失敗する可能性がある。,mobile.jsの保存成功・詳細表示・PUTソート処理で `kintone.app.getId()` を使用している。,mobile用のappId取得関数を共通化し、全箇所で利用する。,未対応（修正保留）
BUG-007,TAB表示プラグイン,TabDisplay,High,高確度,不要,モバイル不具合,mobile.jsでdesktop用グループ開閉APIを使用している,TabDisplay/TabDisplay/contents/js/mobile.js,66,モバイルでグループを含む設定時に実行時エラーとなり、タブ表示全体が止まる可能性がある。,mobile.js内で `kintone.app.record.setGroupFieldOpen` を使用している。,mobileでサポートされるAPIの有無を確認し、未対応ならモバイルでは該当処理をスキップする。,未対応（修正保留）
BUG-013,TAB表示プラグイン,TabDisplay,High,高確度,不要,DOM不具合,desktop.jsでDOM取得結果のnullチェックが不足している,TabDisplay/TabDisplay/contents/js/desktop.js,82,対象フィールドDOMが存在しない条件でタブ表示処理が停止する。,`fieldWrap2` がnullの可能性があるまま `hasAttribute` を呼んでいる。,DOM取得結果のnullチェックを追加する。,未対応（修正保留）
